date,LGA,group,bau_mean,bau_lower80,bau_upper80,bau_lower95,bau_upper95
2026-09-01,Ikwuano,U5,889.8283162891978,227.4571287797048,3472.6280427820247,110.16136662230969,7137.946859109406
2026-10-01,Ikwuano,U5,972.2758531743276,226.8206150153099,4156.946313631707,104.62113237874676,8967.526137131488
2026-11-01,Ikwuano,U5,1037.070864550334,221.55349447780458,4840.942034461056,97.49110492984688,10939.999398837315
2026-12-01,Ikwuano,U5,1125.1790355137468,220.77189585855254,5717.845551284768,92.82768543393203,13516.110799069229
2027-01-01,Ikwuano,U5,1166.5893034675512,210.6988789596578,6438.641004578162,84.7342381512599,15900.054362513256
2027-02-01,Ikwuano,U5,1272.0168744860434,211.94531859324846,7609.272784731676,81.63782057923346,19609.536088284232
2027-03-01,Ikwuano,U5,1376.0796355347686,211.8843274297398,8906.881315173097,78.23625886904993,23931.83516500416
2027-04-01,Ikwuano,U5,1497.2975717555935,213.3733490513471,10470.896919383418,75.58751726113405,29310.507851527225
2027-05-01,Ikwuano,U5,1634.7382356007888,212.48739439912126,12532.009655849708,71.64907491669194,36828.64412794777
2027-06-01,Ikwuano,U5,1790.4863402001056,214.36591476563103,14901.187797991068,69.16799229492037,45738.135496910974
2027-07-01,Ikwuano,U5,1951.4751950055477,215.4715025721208,17609.44452417875,66.57039312985243,56416.59963991905
2027-08-01,Ikwuano,U5,2126.837202280163,216.80912571370126,20786.426351267237,64.17403492157825,69469.78180529243
2027-09-01,Ikwuano,U5,2325.4777099414205,219.0718081734819,24593.23848868284,62.15683592574298,85698.33017572401
2027-10-01,Ikwuano,U5,2545.9351289964407,221.82291484653456,29111.259642523037,60.35610217525233,105724.07576813712
2027-11-01,Ikwuano,U5,2786.082914241506,224.66655025744294,34420.72161534481,58.643796190751594,130236.0349803692
2027-12-01,Ikwuano,U5,3054.9979550467147,228.13987322735974,40756.30412918197,57.1478830460623,160608.86250955416
2028-01-01,Ikwuano,U5,3344.2872625662053,231.39525891599465,48153.798515631315,55.638267712241046,197585.3196583788
2028-02-01,Ikwuano,U5,3675.625654365322,235.73936355670142,57097.98007350029,54.42407276760556,243892.59221248023
2028-03-01,Ikwuano,U5,4042.0939880302662,240.3857427078313,67718.86121745437,53.29551769495981,301066.375172369
2028-04-01,Ikwuano,U5,4451.276951796368,245.53447198049585,80404.67266822387,52.28665601111885,372001.51506420143
