LGA,date,bau_mean,bau_lower80,bau_upper80,bau_lower95,bau_upper95
Bende,2027-01-01,11170.974802566938,1399.0576424710698,160402.44665255863,508.6567509871198,887525.1941231911
Bende,2027-02-01,12007.977200671197,1404.347137239275,195114.60025865503,491.9830518615949,1196048.3937321613
Bende,2027-03-01,12747.991116689018,1397.5925210843552,231515.88092980202,471.9194981118276,1561686.4091875402
Bende,2027-04-01,13936.608699737246,1429.7557166274823,283262.78294424154,465.20527096400815,2100120.425147048
Bende,2027-05-01,14920.21313947369,1451.9014238768682,330759.88697211584,458.18105758122056,2647920.123889702
Bende,2027-06-01,16159.461277197737,1483.6530633047867,389046.5782431422,452.49738726530404,3348251.4283952196
Bende,2027-07-01,17444.30921665337,1513.1549426054094,452444.4694514048,446.070304406976,4168284.692092908
Bende,2027-08-01,18912.107015083322,1549.5982195470042,526909.053955473,441.5828581160953,5184994.846439598
Bende,2027-09-01,20498.15878310791,1587.2841852699337,609947.1265349695,437.2811621002386,6389543.527351833
Bende,2027-10-01,22287.69768336264,1630.2943668056641,706640.5623010102,434.1946374342958,7864307.824362326
Bende,2027-11-01,24277.213866079655,1677.3776167056367,817155.1298354177,431.9192112549139,9637075.376724556
Bende,2027-12-01,26489.471006543867,1728.270615278266,943687.9493568025,430.4281223210317,11765830.22608812
Bende,2028-01-01,28937.69358827089,1782.6232707215133,1087126.7634434835,429.39861192544964,14291176.10905709
Bende,2028-02-01,31684.655691130654,1842.070259020435,1252569.8297184547,429.1345256629974,17325117.714484755
Bende,2028-03-01,34773.98077520037,1907.1733894623787,1443760.881116712,429.6843058816168,20968251.075304233
Bende,2028-04-01,38185.071806559754,1975.1895820507493,1659530.4076674175,430.3545310785353,25236189.955249485
Ikwuano,2026-05-01,4316.224966207248,1306.512409806729,14413.366369558295,697.1686164176822,27393.282580046718
Ikwuano,2026-06-01,4644.599425203831,927.5048530652195,24812.423189505214,409.43892327043613,61293.73417542223
Ikwuano,2026-07-01,4568.290179842046,682.1794931441214,35102.16583530427,270.184281534169,106542.40880201804
Ikwuano,2026-08-01,4550.6116936517865,540.1372329184087,47664.18851234544,199.20384773715767,172465.8948726192
Ikwuano,2026-09-01,4542.07624460197,453.5404394395875,62103.45402096008,160.71706006166553,262094.01453141472
Ikwuano,2026-10-01,4642.244825374148,401.05304287660084,80793.99730194856,137.95952467200044,392034.1435213338
Ikwuano,2026-11-01,4640.984770483848,355.5177819110156,100654.20542952551,119.4880923531103,555204.7347796252
Ikwuano,2026-12-01,4723.982984860123,327.2903967686389,125446.81569664142,107.83981157432163,779412.123429104
Ikwuano,2027-01-01,4645.72631944519,293.72476086435347,149285.50332432403,94.66088118051513,1037374.5053749746
Ikwuano,2027-02-01,4722.616438978979,279.1029859677052,180391.57110637368,88.3722896732012,1392117.8372465782
Ikwuano,2027-03-01,4813.035207941133,266.946219770761,216691.72300470367,82.75970570219805,1847713.428841142
Ikwuano,2027-04-01,4885.9806332324115,258.3833494197561,255683.78077336762,78.47451822494656,2396589.636383611
Ikwuano,2027-05-01,4994.357384252946,249.18096459095784,305366.21996782353,73.29420213372771,3156515.2592884125
Ikwuano,2027-06-01,5130.572296375322,244.5557920636442,362821.17886382295,69.92746281433952,4118929.315099883
Ikwuano,2027-07-01,5260.107597016178,240.3402073214455,426619.63380826346,66.73152141998101,5299076.915422043
Ikwuano,2027-08-01,5406.760948361164,237.39414287721445,498961.2269577135,64.17403492157825,6757859.964470943
Ikwuano,2027-09-01,5576.046281086523,236.15849447016862,580317.8995260668,62.15683592574298,8542537.978769949
Ikwuano,2027-10-01,5770.96630235774,236.05434436912964,672346.9351497433,60.35610217525233,10726203.537095014
