LGA,scenario,date,programme_cost_usd_2024,treatment_savings_usd_2024,net_cost_usd_2024,cost_CM_usd_2024,cost_IPTp_usd_2024,cost_Dual AI_usd_2024,cost_PMC_usd_2024,cost_Vac_usd_2024,cost_LSM_usd_2024,cost_Pyr_usd_2024
Ohafia,Scenario 2,2027-07-01,101228.07553961224,47803.49326939723,53424.58227021501,77082.13518999511,666.9628066720311,23005.40531541896,473.5722275261293,,,
Ohafia,Scenario 2,2027-08-01,107835.93410234858,51984.77136364909,55851.16273869949,83689.99375273145,666.9628066720311,23005.40531541896,473.5722275261293,,,
Ohafia,Scenario 2,2027-09-01,114445.29267925881,56281.939924896134,58163.35275436268,90299.35232964168,666.9628066720311,23005.40531541896,473.5722275261293,,,
Ohafia,Scenario 2,2027-10-01,122329.73688090843,61283.982886490754,61045.753994417675,98183.7965312913,666.9628066720311,23005.40531541896,473.5722275261293,,,
Ohafia,Scenario 2,2027-11-01,130769.60902539804,66702.50866838772,64067.10035701032,106623.66867578091,666.9628066720311,23005.40531541896,473.5722275261293,,,
Ohafia,Scenario 2,2027-12-01,140045.65206482983,72665.34692601078,67380.30513881905,115899.7117152127,666.9628066720311,23005.40531541896,473.5722275261293,,,
Ohafia,Scenario 2,2028-01-01,149559.89727508827,78920.94979000455,70638.94748508371,125413.95692547115,666.9628066720311,23005.40531541896,473.5722275261293,,,
Ohafia,Scenario 2,2028-02-01,160644.39243020947,86121.67578000222,74522.71665020725,136498.45208059234,666.9628066720311,23005.40531541896,473.5722275261293,,,
Ohafia,Scenario 2,2028-03-01,172700.7862476604,93988.70381049946,78712.08243716095,148554.84589804328,666.9628066720311,23005.40531541896,473.5722275261293,,,
Ohafia,Scenario 2,2028-04-01,185943.79559591986,102656.73297818503,83287.06261773483,161797.85524630273,666.9628066720311,23005.40531541896,473.5722275261293,,,
Ohafia,Target,2026-05-01,7027.086085670664,2388.7269659982703,4638.359119672394,3525.6178293345765,83.37035083400396,3354.954941831933,63.14296367015057,,,
Ohafia,Target,2026-06-01,15126.379159183121,5408.711460020489,9717.667699162634,8123.442646510947,166.74070166800774,6709.909883663866,126.28592734030114,,,
Ohafia,Target,2026-07-01,22759.82860837091,8262.272986245069,14497.555622125841,12255.42383936265,250.11105250201172,10064.864825495797,189.42889101045168,,,
Ohafia,Target,2026-08-01,31903.835269044557,11981.191613448182,19922.643655596374,17897.962243700207,333.48140333601566,13419.819767327732,252.57185468060229,,,
Ohafia,Target,2026-09-01,40771.858744836245,15667.572512943065,25104.28623189318,23264.517463155807,416.85175417001926,16774.774709159665,315.7148183507528,,,
Ohafia,Target,2026-10-01,51491.82762568457,20318.63910620237,31173.188519482203,30483.018087668057,500.22210500402315,20129.729650991583,378.8577820209036,,,
Ohafia,Target,2026-11-01,62860.36751922146,25470.101723717224,37390.26579550424,38350.08972486885,583.5924558380271,23484.68459282353,442.00074569105414,,,
Ohafia,Target,2026-12-01,75312.1461797252,31265.097562991978,44047.04861673322,47300.40012903651,666.9628066720311,26839.63953465545,505.1437093612047,,,
Ohafia,Target,2027-01-01,86723.32087295286,36703.04058916157,50020.28028379129,55210.10656592809,750.333157506035,30194.594476487386,568.2866730313552,,,
Ohafia,Target,2027-02-01,101145.60191442384,43873.276592685485,57272.32532173835,66130.91935106297,833.7035083400386,33549.549418319315,631.4296367015058,,,
Ohafia,Target,2027-03-01,116335.08802044326,51525.68243926849,64809.405581174775,77818.93720074631,917.0738591740427,36904.50436015125,694.5726003716563,,,
Ohafia,Target,2027-04-01,132759.92077440192,59948.11494970328,72811.80582469865,90742.30169836889,1000.4442100080465,40259.45930198319,757.7155640418069,,,
Ohafia,Target,2027-05-01,140776.22082874816,65319.16932016875,75457.0515085794,98758.60175271513,1000.4442100080465,40259.45930198319,757.7155640418069,,,
Ohafia,Target,2027-06-01,149766.1483757179,71276.58822108347,78489.56015463443,107748.52929968486,1000.4442100080465,40259.45930198319,757.7155640418069,,,
Ohafia,Target,2027-07-01,157640.82186102573,76776.28173822162,80864.54012280412,115623.20278499268,1000.4442100080465,40259.45930198319,757.7155640418069,,,
Ohafia,Target,2027-08-01,167552.6097051302,83484.9184142744,84067.69129085579,125534.99062909716,1000.4442100080465,40259.45930198319,757.7155640418069,,,
Ohafia,Target,2027-09-01,177466.64757049555,90361.11117093128,87105.53639956427,135449.02849446252,1000.4442100080465,40259.45930198319,757.7155640418069,,,
