LGA,date,month_index,group,scenario,bau_cases,scenario_cases,cases_averted,cases_averted_low,cases_averted_high,coverage_CM,coverage_IPTp,coverage_Dual AI,coverage_PMC,coverage_Vac,coverage_LSM,coverage_Pyr
Ikwuano,2027-05-01,13,U5,High,1634.7382356007888,1109.3399224823904,525.3983131183984,30.125160609633987,8089.18427474644,0.9,0.85,0.85,0.85,,,
Ikwuano,2027-06-01,14,A5,High,1706.1689390585511,1390.9298126920933,315.23912636645787,0.1431444833217096,218916.51036162698,0.9,0.85,0.85,0.85,,,
Ikwuano,2027-06-01,14,PW,High,1633.9170171166656,1181.9398652947539,451.9771518219118,0.09552234471310703,368454.73848235584,0.9,0.85,0.85,0.85,,,
Ikwuano,2027-06-01,14,U5,High,1790.4863402001056,1215.0312108613443,575.4551293387613,29.081978788325813,10046.09903998796,0.9,0.85,0.85,0.85,,,
Ikwuano,2027-07-01,15,A5,High,1695.9352231355108,1382.5869222278975,313.3483009076133,0.04448485698573794,282869.23689386994,0.9,0.85,0.85,0.85,,,
Ikwuano,2027-07-01,15,PW,High,1612.6971788751193,1166.589898013644,446.1072808614754,0.0,472595.22265540063,0.9,0.85,0.85,0.85,,,
Ikwuano,2027-07-01,15,U5,High,1951.4751950055477,1324.278893347197,627.1963016583506,27.989807087042728,12391.55775207001,0.9,0.85,0.85,0.85,,,
Ikwuano,2027-08-01,16,A5,High,1687.1376007225635,1375.4147864476456,311.72281427491794,0.0,362362.2193801855,0.9,0.85,0.85,0.85,,,
Ikwuano,2027-08-01,16,PW,High,1592.7861453584376,1152.1866914700734,440.5994538883642,0.0,600687.3506167107,0.9,0.85,0.85,0.85,,,
Ikwuano,2027-08-01,16,U5,High,2126.837202280163,1443.2802547393978,683.5569475407653,26.982248008486415,15258.608614455989,0.9,0.85,0.85,0.85,,,
Ikwuano,2027-09-01,17,A5,High,1677.8239793384967,1367.821989890012,310.00198944848466,0.0,460098.8411611393,0.9,0.85,0.85,0.85,,,
Ikwuano,2027-09-01,17,PW,High,1572.7445918066057,1137.6890695852414,435.0555222213643,0.0,756624.140503142,0.9,0.85,0.85,0.85,,,
Ikwuano,2027-09-01,17,U5,High,2325.4777099414205,1578.0784998479282,747.3992100934922,26.134108045733413,18823.109056665795,0.9,0.85,0.85,0.85,,,
Ikwuano,2027-10-01,18,A5,High,1670.6293003356634,1361.956630787113,308.6726695485504,0.0,580405.8881461695,0.9,0.85,0.85,0.85,,,
Ikwuano,2027-10-01,18,PW,High,1554.4018730256353,1124.4203476501593,429.98152537547594,0.0,946313.5936808428,0.9,0.85,0.85,0.85,,,
Ikwuano,2027-10-01,18,U5,High,2545.9351289964407,1727.681788520799,818.2533404756416,25.376981823073955,23221.64042191069,0.9,0.85,0.85,0.85,,,
Ikwuano,2027-11-01,19,A5,High,1661.6409653511967,1354.6290193119817,307.011946039215,0.0,726207.5926605938,0.9,0.85,0.85,0.85,,,
Ikwuano,2027-11-01,19,PW,High,1535.116486357422,1110.4697203649318,424.64676599249015,0.0,1174020.725638383,0.9,0.85,0.85,0.85,,,
Ikwuano,2027-11-01,19,U5,High,2786.082914241506,1890.6470386546657,895.4358755868402,24.65703543359301,28605.540907466333,0.9,0.85,0.85,0.85,,,
Ikwuano,2027-12-01,20,A5,High,1654.0563873463727,1348.4458006270725,305.6105867193003,0.0,903483.5627533542,0.9,0.85,0.85,0.85,,,
Ikwuano,2027-12-01,20,PW,High,1516.9291433351011,1097.3133938583353,419.6157494767658,0.0,1447534.0938134473,0.9,0.85,0.85,0.85,,,
Ikwuano,2027-12-01,20,U5,High,3054.9979550467147,2073.1338637771987,981.8640912695159,24.028072340988878,35276.74492939837,0.9,0.85,0.85,0.85,,,
Ikwuano,2028-01-01,21,A5,High,1644.0125289450223,1340.257688790618,303.7548401544043,0.0,1115614.5358470734,0.9,0.85,0.85,0.85,,,
Ikwuano,2028-01-01,21,PW,High,1497.3192559627275,1083.1280298548133,414.1912261079142,0.0,1771720.5898820665,0.9,0.85,0.85,0.85,,,
Ikwuano,2028-01-01,21,U5,High,3344.2872625662053,2269.4467479991263,1074.840514567079,23.393348104241802,43398.39542147081,0.9,0.85,0.85,0.85,,,
Ikwuano,2028-02-01,22,A5,High,1635.979570027752,1333.7089339830623,302.2706360446898,0.0,1371541.3438795824,0.9,0.85,0.85,0.85,,,
Ikwuano,2028-02-01,22,PW,High,1479.300631891902,1070.0937509508267,409.20688094107527,0.0,2157926.3213997595,0.9,0.85,0.85,0.85,,,
Ikwuano,2028-02-01,22,U5,High,3675.625654365322,2494.2943094429843,1181.3313449223378,22.882834636188242,53569.50190178718,0.9,0.85,0.85,0.85,,,
Ikwuano,2028-03-01,23,A5,High,1628.3003922713103,1327.448594204347,300.8517980669633,0.0,1677796.0034695733,0.9,0.85,0.85,0.85,,,
Ikwuano,2028-03-01,23,PW,High,1461.7527870878846,1057.4000234808273,404.35276360705734,0.0,2614613.3944758233,0.9,0.85,0.85,0.85,,,
Ikwuano,2028-03-01,23,U5,High,4042.0939880302662,2742.9811903188765,1299.1127977113897,22.408328819332958,66127.37029466493,0.9,0.85,0.85,0.85,,,
Ikwuano,2028-04-01,24,A5,High,1619.8734530407298,1320.5786525841304,299.29480045659943,0.0,2041553.190582011,0.9,0.85,0.85,0.85,,,
Ikwuano,2028-04-01,24,PW,High,1443.9478546759276,1044.5203244532065,399.4275302227211,0.0,3150977.994264405,0.9,0.85,0.85,0.85,,,
Ikwuano,2028-04-01,24,U5,High,4451.276951796368,3020.654390480234,1430.6225613161341,21.98414860076137,81707.83576459816,0.9,0.85,0.85,0.85,,,
Ikwuano,2026-05-01,1,A5,Maximum,1797.4734838279326,1765.6909565490485,31.782527278884118,7.479431457245596,125.97646050549884,0.5833333333333334,0.4875,0.4416666666666667,0.3958333333333333,,,
Ikwuano,2026-05-01,1,PW,Maximum,1892.3653899792228,1839.268684596316,53.09670538290675,11.59183234734536,218.15390105221923,0.5833333333333334,0.4875,0.4416666666666667,0.3958333333333333,,,
