LGA,group,order,seasonal_order,rmse,mae,mase,aic,status
Isuikwato,U5,"(1, 0, 0)","(1, 0, 0, 12)",676.103471532822,570.1261666029319,10.626769181788106,94.40642316548953,ok
Isuikwato,A5,"(0, 1, 1)","(0, 1, 1, 12)",4269.257761406932,3779.1666666666665,17.05784999623862,1006.9500832215584,ok
Isuikwato,A5,"(1, 1, 0)","(0, 1, 1, 12)",4269.241826530969,3779.158664304486,17.057813876346135,1001.9058510033725,ok
Isuikwato,A5,"(1, 1, 1)","(0, 1, 1, 12)",4269.241165172614,3779.158583953847,17.057813513671167,1048.4858021838475,ok
Isuikwato,A5,"(0, 1, 1)","(1, 0, 0, 12)",4269.256033849586,3779.1646941632785,17.0578410930412,72.19629995941041,ok
Isuikwato,A5,"(1, 0, 1)","(1, 0, 0, 12)",2898.9628417485355,2094.1868554676125,9.452434463857424,72.95786893507102,ok
Isuikwato,A5,"(1, 0, 0)","(1, 0, 0, 12)",2771.2363020125676,1954.0537171266544,8.819921991093,76.02909770162654,ok
Obi Nwa,PW,"(0, 1, 1)","(0, 1, 1, 12)",1206.536476635166,1198.5822910804616,5.122693839429262,1275.6957357309666,ok
Obi Nwa,PW,"(1, 1, 0)","(0, 1, 1, 12)",1206.5375045973499,1198.5833333333333,5.122698293977277,593.8482508738647,ok
Obi Nwa,PW,"(1, 1, 1)","(0, 1, 1, 12)",1206.5361690922005,1198.5819867926787,5.122692538915178,1241.9919366061495,ok
Obi Nwa,PW,"(0, 1, 1)","(1, 0, 0, 12)",1206.516939978445,1198.5631726397708,5.12261212796141,45.769261844055514,ok
Obi Nwa,PW,"(1, 0, 1)","(1, 0, 0, 12)",343.50130341546964,301.4682573944487,1.2884635426624584,47.56327063063898,ok
Obi Nwa,PW,"(1, 0, 0)","(1, 0, 0, 12)",485.1611911345463,455.76147551169294,1.9479067229904603,49.65882181232618,ok
Obi Nwa,U5,"(0, 1, 1)","(0, 1, 1, 12)",430.8134578137293,408.47502021304336,6.938004589605832,988.90070948489,ok
Obi Nwa,U5,"(1, 1, 0)","(0, 1, 1, 12)",430.81266250956065,408.47678016038117,6.938034482554245,1117.7168506760129,ok
